Downscaled Variable,Predictor,Test Loss,Backbone,Filters,Blocks,Epochs,Parameters,Upsampling Method,Interpolation Method,Batch Size,Learning Rate,Loss Function,Early Stopping,Training Runtime,Model Path,Conv Block,Device
WS,PSFC,0.102307,resnet,8,8,77,684823,spc,inter_area,60,"(0.001, 0.0001)",mae,True,1:55:18.949856,/home/gvaillant1/downscaling/pretrained-models/WS/WS-Other-Models,True,CPU
WS,PSFC,0.100278,densenet,8,8,77,983640,spc,inter_area,60,"(0.001, 0.0001)",mae,True,3:21:33.493831,/home/gvaillant1/downscaling/pretrained-models/WS/WS-Other-Models,True,CPU
